block,timestamp,time,aDAI_rate,aUSDC_rate,aWBTC_rate,aUSDT_rate,aTUSD_rate
12012705,1615404742,2021-03-10T19:32:22.000Z,1024441487196434752965163031,1024687221104168010269016121,1001134649293521997380398508,1027859387778832628397313315,1026714109573741920121479979
12018465,1615481483,2021-03-11T16:51:23.000Z,1024714354114552382963435501,1025261929067328377110401457,1001135100030805787443998818,-,1026957155322903306389874459
12024225,1615559595,2021-03-12T14:33:15.000Z,1024913597762069104943849421,1025611673883430128825595044,1001135561010509874789514253,1028366168110244097389250757,1027200879643626891606629402
12029985,1615635410,2021-03-13T11:36:50.000Z,1025188530546374670331365480,1025784742927244674058031420,1001136010497175206892779404,1028520922668933195151916853,1027435555786367225554007979
12035745,1615712244,2021-03-14T08:57:24.000Z,1025496769787282387451622855,1025988958033127647923767562,1001136469488615249162144182,1028714585795985898460208276,1027671661807245067837935965
12041505,1615789051,2021-03-15T06:17:31.000Z,1025783230218330839990300979,1026157875657840169924037063,1001136888937724529484938882,1028959811905199596701469150,1027885478056007544671719445
12047265,1615865291,2021-03-16T03:28:11.000Z,1026089383952988814915683382,1026326314070713569221535711,1001137510519719194415081545,1029218869754275286206420547,1028072358557594377294140180
12053025,1615942268,2021-03-17T00:51:08.000Z,1026379676382001689336753430,1026527908697100413753465668,1001138370211650536442365363,1029469117466114248700545709,1028446511230443619243941644
12058785,1616018870,2021-03-17T22:07:50.000Z,1026620586299240335950892924,1026764384430521310550586033,1001139854165060588595429691,1029765768840484397432326993,1028890221983491696103895755
12064545,1616095207,2021-03-18T19:20:07.000Z,1026951042339108716485403756,1027110081062497400643684865,1001140259932426391718702090,1030140893876982609556275164,1029341664368024059021211245
12070305,1616171401,2021-03-19T16:30:01.000Z,1027225485445757022262249387,1027321451955570445847179298,1001140678394581891569117289,1030352756905748907362677326,1029808742459533540617673849
12076065,1616248599,2021-03-20T13:56:39.000Z,1027446737031081449305530898,1027526624451177596008983224,1001141083510406636538084343,1030540984395051736536378765,1030243406676879519463575697
